Attack,SET-A1
BLACKBOX_DISSECTOR,0.3350
BLACKBOX_RIPPER,0.1010
COPYCATCNN,0.2825
DFME,0.1028
DFMS,0.0982
ES,0.0974
GAME,0.0982
KNOCKOFF_NETS,0.2785
MAZE,0.0974
RANDOM,0.2325
