Attack,SET-A1
BLACKBOX_DISSECTOR,0.8887
BLACKBOX_RIPPER,0.1010
COPYCATCNN,0.9006
DFME,0.6193
DFMS,0.0982
ES,0.2016
GAME,0.3179
KNOCKOFF_NETS,0.9147
MAZE,0.2212
RANDOM,0.9256
