Attack,SET-A1
BLACKBOX_DISSECTOR,0.7249 + 0.3371
BLACKBOX_RIPPER,0.1206 + 0.0315
COPYCATCNN,0.7164 + 0.3753
DFME,0.6519 + 0.3286
DFMS,0.0984 + 0.0004
ES,0.1772 + 0.0492
GAME,0.3562 + 0.1784
KNOCKOFF_NETS,0.7209 + 0.3822
MAZE,0.2393 + 0.1275
RANDOM,0.7077 + 0.4104
