Attack,SET-A1
BLACKBOX_DISSECTOR,0.9431
BLACKBOX_RIPPER,0.1010
COPYCATCNN,0.9569
DFME,0.7336
DFMS,0.0982
ES,0.2234
GAME,0.4169
KNOCKOFF_NETS,0.9594
MAZE,0.1499
RANDOM,0.9575
