Attack,SET-A1
BLACKBOX_DISSECTOR,0.7223 + 0.3365
BLACKBOX_RIPPER,0.1207 + 0.0314
COPYCATCNN,0.7133 + 0.3742
DFME,0.6489 + 0.3276
DFMS,0.0980 + 0.0005
ES,0.1784 + 0.0493
GAME,0.3566 + 0.1784
KNOCKOFF_NETS,0.7175 + 0.3809
MAZE,0.2399 + 0.1263
RANDOM,0.7052 + 0.4097
