Attack,SET-A1
ACTIVETHIEF,0.9836
ACTIVETHIEF_DFAL,0.9784
ACTIVETHIEF_UNCERTAINTY,0.9780
BLACKBOX_DISSECTOR,0.9246
BLACKBOX_RIPPER,0.1018
COPYCATCNN,0.7914
DFME,0.8710
DFMS,0.6727
ES,0.0983
GAME,0.0983
INVERSENET,0.8926
KNOCKOFF_NETS,0.3622
MAZE,0.0986
