Attack,SET-A1
ACTIVETHIEF,0.9783
ACTIVETHIEF_DFAL,0.9731
ACTIVETHIEF_UNCERTAINTY,0.9748
BLACKBOX_DISSECTOR,0.9203
COPYCATCNN,0.7907
INVERSENET,0.8912
KNOCKOFF_NETS,0.3601
