Attack,SET-A1
ACTIVETHIEF,0.9783
ACTIVETHIEF_DFAL,0.9731
ACTIVETHIEF_UNCERTAINTY,0.9748
BLACKBOX_DISSECTOR,0.9203
BLACKBOX_RIPPER,0.1016
COPYCATCNN,0.7907
DFME,0.8671
DFMS,0.6691
ES,0.0980
GAME,0.0980
INVERSENET,0.8912
KNOCKOFF_NETS,0.3601
MAZE,0.0983
